kanji,meanings,kun,on,level
析,"chop,divide,tear,analyze",うら,セキ,n1
譲,"defer,turnover,transfer,convey",ゆず.る,ジョウ,n1
称,"appellation,praise,admire,name,title,fame","たた.える,とな.える,あ.げる,かな.う,はか.り,はか.る,ほめ.る",ショウ,n1
挑,"challenge,contend for,make love to",いど.む,チョウ,n1
誘,"entice,lead,tempt,invite,ask,call for,seduce,allure","さそ.う,いざな.う",ユウ,n1
紛,"distract,be mistaken for,go astray,divert","まぎ.れる,-まぎ.れ,まぎ.らす,まぎ.らわす,まぎ.らわしい",フン,n1
潔,"undefiled,pure,clean,righteous,gallant",いさぎよ.い,ケツ,n1
促,"stimulate,urge,press,demand,incite",うなが.す,ソク,n1
仁,"humanity,virtue,benevolence,charity,man,kernel",うなが.す,"ジン,ニ,ニン",n1
慎,"humility,be careful,discreet,prudent","つつし.む,つつ.ましい,つつし,つつし.み",シン,n1
控,"withdraw,draw in,hold back,refrain from,be moderate","ひか.える,ひか.え",コウ,n1
握,"grip,hold,mould sushi,bribe",にぎ.る,アク,n1
俊,"sagacious,genius,excellence",にぎ.る,シュン,n1
渋,"astringent,hesitate,reluctant,have diarrhea","しぶ,しぶ.い,しぶ.る","ジュウ,シュウ",n1
銃,"gun,arms",つつ,ジュウ,n1
携,"portable,carry (in hand),armed with,bring along","たずさ.える,たずさ.わる",ケイ,n1
診,"checkup,seeing,diagnose,examine",み.る,シン,n1
託,"consign,requesting,entrusting with,pretend,hint","かこつ.ける,かこ.つ,かこ.つける",タク,n1
撮,"snapshot,take pictures","と.る,つま.む,-ど.り",サツ,n1
穴,"hole,aperture,slit,cave,den",あな,ケツ,n1
侵,"encroach,invade,raid,trespass,violate",おか.す,シン,n1
括,"fasten,tie up,arrest,constrict",くく.る,カツ,n1
志,"intention,plan,resolve,aspire,motive,hopes,shilling","シリング,こころざ.す,こころざし",シ,n1
朗,"melodious,clear,bright,serene,cheerful","ほが.らか,あき.らか",ロウ,n1
駆,"drive,run,gallop,advance,inspire,impel","か.ける,か.る",ク,n1
透,"transparent,permeate,filter,penetrate","す.く,す.かす,す.ける,とう.る,とう.す",トウ,n1
津,"haven,port,harbor,ferry",つ,シン,n1
稲,rice plant,"いね,いな-","トウ,テ",n1
肺,lungs,"いね,いな-",ハイ,n1
